Attendance,AssignmentScore,MidtermScore,FinalScore,Result
67.33,67.41,65.69,80.04,Pass
68.21,95.68,38.93,50.05,Fail
77.07,49.42,59.61,44.36,Fail
82.09,45.8,64.1,44.81,Fail
81.32,92.07,100.0,24.58,Pass
87.93,66.86,44.98,69.43,Fail
78.16,59.96,91.36,23.38,Pass
95.44,85.6,82.94,35.43,Pass
74.82,60.92,70.05,18.49,Fail
100.0,97.39,96.66,58.28,Pass
85.51,80.17,71.7,56.99,Pass
67.71,62.68,72.0,53.47,Pass
65.15,100.0,64.04,39.15,Pass
83.79,60.91,87.02,36.56,Pass
75.32,81.13,84.74,69.29,Pass
86.57,74.49,53.74,48.99,Pass
83.68,89.53,41.25,66.33,Pass
77.13,93.42,61.35,42.3,Pass
67.84,70.48,50.6,63.62,Pass
59.82,58.7,63.86,86.07,Pass
72.64,76.9,87.27,71.72,Pass
88.28,59.83,56.77,51.75,Pass
80.57,100.0,64.23,65.14,Pass
63.05,72.05,66.04,55.19,Pass
80.08,64.52,80.27,60.16,Pass
82.62,72.77,24.56,53.49,Fail
67.39,49.79,54.08,56.71,Pass
79.84,55.43,68.8,64.24,Pass
78.7,88.01,86.6,40.13,Pass
64.28,60.15,56.15,39.68,Fail
82.29,54.3,31.22,32.23,Fail
84.73,78.05,76.15,27.99,Fail
91.0,87.79,53.56,35.65,Fail
90.65,80.78,43.59,63.19,Pass
61.47,84.94,53.76,42.14,Pass
66.75,58.65,61.68,70.27,Fail
84.18,48.67,54.11,60.69,Pass
84.17,92.52,25.3,20.63,Fail
84.18,65.16,81.15,73.1,Pass
100.0,66.24,87.95,76.22,Pass
84.85,89.92,76.73,40.12,Pass
91.63,78.34,44.52,68.4,Pass
89.45,76.84,61.37,42.87,Pass
85.82,100.0,64.88,61.95,Pass
74.22,60.35,75.78,34.71,Fail
87.11,83.92,77.03,24.14,Fail
68.73,70.86,51.78,52.34,Fail
75.16,74.03,66.48,57.53,Pass
72.18,92.93,73.23,52.05,Pass
78.98,77.62,91.2,36.32,Pass
100.0,78.07,77.68,52.0,Pass
55.59,86.09,79.2,65.39,Pass
86.24,64.53,66.51,59.1,Pass
58.65,57.41,90.39,63.65,Pass
72.34,54.33,72.38,46.6,Pass
91.07,40.5,49.5,83.43,Pass
78.77,100.0,90.26,36.48,Pass
65.07,53.45,77.56,69.75,Pass
69.42,66.68,57.03,83.64,Pass
86.16,65.85,56.37,69.62,Pass
69.24,74.61,70.34,55.95,Fail
80.6,82.24,73.34,49.43,Pass
78.55,82.91,68.55,80.72,Pass
70.18,61.25,70.6,31.54,Fail
100.0,67.49,95.6,40.6,Pass
85.61,74.24,84.29,52.05,Pass
53.7,66.27,68.43,84.75,Pass
80.24,94.11,81.94,67.6,Pass
70.06,77.36,46.41,40.64,Pass
88.23,81.02,72.16,53.79,Pass
68.49,79.94,97.57,47.71,Pass
76.62,87.6,61.08,45.8,Fail
84.06,72.72,49.74,79.58,Pass
88.39,50.55,53.26,32.57,Fail
63.6,76.0,45.39,92.18,Pass
73.99,60.23,50.87,76.56,Pass
72.3,62.07,58.33,81.82,Fail
70.16,78.8,39.7,50.74,Fail
99.19,88.57,65.28,57.0,Pass
82.86,70.32,81.24,31.34,Pass
62.87,74.63,48.66,49.51,Pass
89.01,95.53,92.35,69.87,Pass
100.0,73.61,74.19,85.92,Pass
90.39,100.0,83.55,37.86,Pass
59.77,78.48,53.16,52.69,Fail
72.19,43.59,80.38,56.97,Fail
93.2,81.3,45.35,32.08,Pass
69.51,75.72,81.02,71.83,Pass
83.33,89.35,68.09,45.52,Pass
87.3,80.1,74.96,56.09,Pass
66.88,67.92,43.84,50.96,Fail
77.29,51.64,48.89,44.21,Fail
39.1,66.86,75.75,59.86,Fail
65.71,57.24,47.93,55.69,Fail
74.97,61.29,73.34,52.56,Pass
63.03,78.83,40.39,45.43,Fail
97.59,95.05,80.27,66.39,Pass
60.84,75.92,42.81,93.07,Pass
72.72,52.06,74.94,62.8,Pass
79.57,76.67,76.26,79.92,Pass
95.3,87.95,52.46,32.2,Fail
60.77,60.85,75.48,63.16,Pass
91.96,67.99,69.69,38.05,Pass
78.12,70.22,55.3,30.46,Fail
66.22,58.23,46.85,45.21,Fail
83.55,79.72,29.67,83.84,Pass
80.39,68.19,71.29,79.0,Pass
70.8,76.29,36.83,64.86,Pass
78.84,56.69,66.72,29.35,Fail
73.38,63.44,60.26,56.07,Pass
79.36,80.84,77.22,66.03,Pass
85.95,64.41,59.56,63.51,Pass
97.03,95.9,59.07,23.12,Pass
63.15,64.01,78.17,42.19,Fail
100.0,73.37,71.03,58.72,Pass
54.57,83.99,70.69,70.73,Pass
76.18,48.72,73.45,16.08,Fail
85.06,43.59,37.36,56.76,Fail
81.37,47.12,78.62,62.86,Pass
70.53,88.94,76.02,76.99,Pass
75.5,61.72,46.7,73.86,Fail
72.08,100.0,60.61,71.65,Pass
70.93,61.54,64.29,44.0,Fail
88.2,72.77,62.58,21.84,Pass
82.28,93.13,71.01,52.14,Pass
69.69,100.0,90.76,80.03,Pass
88.8,100.0,84.47,87.87,Pass
81.69,88.13,41.38,74.21,Pass
87.75,85.36,76.2,68.59,Pass
85.56,78.89,88.92,67.59,Pass
68.05,81.68,71.96,48.88,Pass
71.28,61.73,84.64,57.4,Pass
86.97,57.73,100.0,93.38,Pass
85.32,69.95,83.43,41.15,Pass
77.75,67.45,69.49,92.3,Pass
79.41,63.2,83.81,53.56,Pass
93.33,80.45,67.61,86.51,Pass
70.9,84.33,65.43,31.86,Fail
84.57,71.33,58.67,71.72,Pass
75.57,92.16,93.14,45.26,Pass
75.39,52.87,50.27,31.69,Fail
91.19,67.1,92.58,64.37,Pass
87.9,59.25,74.0,80.19,Pass
87.76,42.0,39.81,43.1,Fail
93.67,68.76,71.62,30.02,Pass
78.25,68.17,27.2,58.16,Fail
86.18,92.7,76.26,58.25,Pass
74.28,79.46,80.93,70.97,Pass
81.89,54.64,54.34,78.99,Pass
76.44,97.81,67.22,58.81,Pass
79.16,88.32,100.0,97.11,Pass
85.14,78.73,55.9,64.48,Pass
68.18,66.6,45.94,53.07,Fail
100.0,55.61,91.67,27.77,Pass
65.93,64.42,100.0,54.75,Pass
63.43,86.33,65.07,53.27,Pass
91.9,98.27,83.21,79.21,Pass
87.5,93.15,89.15,69.25,Pass
85.49,62.67,51.64,36.41,Fail
85.54,53.21,56.26,63.45,Pass
77.85,72.11,87.16,73.43,Pass
67.23,43.47,95.33,90.56,Pass
78.91,74.85,75.13,77.75,Pass
69.87,67.79,49.16,75.22,Pass
89.7,63.01,100.0,61.2,Pass
76.24,46.08,55.44,67.77,Pass
68.09,77.7,58.97,84.99,Pass
74.14,62.01,71.16,33.34,Pass
82.96,52.45,92.97,53.01,Pass
71.24,26.92,80.37,44.55,Fail
68.13,69.59,72.47,67.58,Pass
80.92,96.58,73.34,84.6,Pass
80.94,94.92,65.78,48.06,Pass
71.92,63.14,75.05,12.19,Fail
72.35,60.97,19.47,51.76,Fail
80.78,77.03,59.66,78.27,Pass
60.62,55.02,69.34,70.75,Pass
61.11,74.53,44.28,68.56,Pass
69.38,81.49,71.95,54.4,Pass
75.44,88.4,61.32,34.42,Pass
81.73,68.5,96.6,70.31,Pass
95.7,66.94,93.31,43.31,Pass
88.29,56.83,56.62,100.0,Pass
76.08,57.6,62.28,71.41,Pass
77.77,66.6,63.67,48.39,Fail
65.97,75.51,56.87,47.77,Fail
77.78,83.7,68.51,58.14,Pass
74.54,57.95,51.35,55.21,Pass
81.87,92.39,44.65,82.34,Pass
68.07,65.93,76.21,63.73,Pass
84.23,69.68,76.33,45.37,Pass
96.39,58.79,50.52,97.81,Pass
76.69,33.64,81.12,60.99,Pass
82.82,83.26,53.63,75.38,Pass
86.28,81.05,69.56,47.84,Pass
73.19,65.78,79.77,67.26,Pass
80.69,71.0,64.39,66.22,Pass
78.15,77.74,73.19,22.21,Fail
79.17,46.56,55.7,100.0,Pass
68.72,62.06,61.46,85.81,Pass
78.29,81.91,61.29,52.06,Pass
83.98,51.19,51.56,37.95,Fail
95.41,74.4,61.82,66.95,Pass
89.51,49.65,37.12,61.73,Fail
100.0,77.0,56.16,67.11,Pass
68.79,69.47,59.87,63.83,Pass
88.47,45.77,60.39,70.12,Fail
80.2,87.47,60.65,88.95,Pass
100.0,58.98,63.89,71.36,Pass
68.3,57.85,73.63,39.01,Fail
67.92,73.01,80.74,87.25,Pass
70.81,87.23,53.3,92.81,Pass
52.51,54.76,43.34,100.0,Pass
71.69,70.93,46.24,37.53,Fail
68.89,76.43,56.23,64.86,Pass
79.8,80.4,58.67,18.36,Fail
82.1,72.65,51.14,71.06,Pass
100.0,64.49,41.67,49.04,Pass
89.41,57.59,56.79,98.47,Pass
71.08,71.29,68.27,44.51,Pass
67.22,53.92,75.71,26.22,Fail
83.9,26.18,54.97,50.57,Fail
62.16,76.55,57.57,20.49,Fail
99.98,83.56,48.32,75.02,Pass
92.15,34.56,64.43,18.7,Fail
72.37,54.85,49.73,60.57,Fail
57.44,79.29,75.32,18.44,Fail
94.25,100.0,32.85,53.59,Pass
76.63,70.31,58.53,92.87,Pass
92.85,59.08,70.42,67.21,Pass
58.87,67.26,68.31,42.73,Fail
70.81,90.62,100.0,59.38,Pass
78.06,60.31,71.3,60.36,Pass
78.56,58.01,46.93,69.45,Pass
72.6,62.76,63.28,32.66,Pass
85.47,55.7,33.03,71.85,Pass
65.19,71.84,63.55,5.91,Fail
76.29,94.37,50.0,47.4,Pass
79.44,74.85,81.48,50.23,Pass
84.17,66.21,55.11,72.67,Pass
86.54,65.62,62.9,60.45,Pass
64.5,46.55,53.56,31.89,Fail
59.59,83.25,96.3,40.3,Pass
93.33,68.83,59.22,63.97,Pass
81.99,67.29,97.99,58.42,Pass
69.02,100.0,79.65,48.42,Pass
96.61,74.48,73.68,50.38,Pass
79.39,58.72,71.64,73.92,Pass
92.15,63.6,72.09,49.65,Pass
78.81,87.23,30.3,58.24,Fail
100.0,71.7,59.98,100.0,Pass
99.06,48.43,80.21,31.53,Pass
75.01,83.79,64.12,22.96,Fail
89.66,59.98,39.71,75.67,Pass
85.74,98.1,64.06,46.43,Pass
94.42,86.2,95.67,53.64,Pass
66.42,63.29,87.44,44.38,Pass
86.23,89.22,63.88,54.8,Pass
90.7,71.02,82.13,91.97,Pass
56.9,82.79,58.4,76.04,Pass
63.8,77.27,34.33,77.24,Pass
53.53,57.3,48.36,31.68,Fail
74.77,60.35,93.13,36.98,Fail
86.61,85.45,60.07,3.22,Fail
96.03,64.98,60.62,43.81,Pass
78.89,63.95,59.6,79.13,Pass
97.54,55.67,99.27,70.34,Pass
61.44,76.35,94.27,55.57,Pass
57.56,100.0,100.0,59.55,Pass
77.33,53.99,62.14,46.22,Pass
82.61,70.36,70.32,64.1,Pass
77.61,91.18,37.7,75.32,Pass
53.19,68.81,91.58,27.68,Pass
76.93,76.79,43.98,65.99,Pass
62.35,54.06,68.9,78.65,Pass
86.04,76.42,45.25,51.7,Pass
82.4,67.19,54.4,74.01,Pass
66.72,84.79,49.93,100.0,Pass
71.83,87.81,54.06,57.91,Pass
65.29,100.0,55.3,67.87,Pass
77.25,78.69,55.13,45.24,Fail
89.46,74.89,80.0,63.63,Pass
66.17,72.92,45.11,69.21,Pass
84.05,64.7,68.97,63.9,Pass
71.64,75.08,86.92,39.61,Pass
68.49,65.57,55.76,64.13,Fail
76.72,72.53,52.08,89.24,Pass
65.58,89.76,60.85,68.97,Pass
71.36,54.9,86.24,79.24,Pass
63.63,87.1,68.49,55.26,Pass
100.0,89.76,55.44,75.0,Pass
78.42,68.23,73.71,65.59,Pass
69.6,38.17,45.16,40.98,Fail
80.57,60.88,77.26,66.37,Pass
76.65,89.45,72.35,40.17,Pass
75.35,69.66,59.46,47.34,Fail
85.37,55.01,49.91,63.79,Pass
87.09,62.43,49.04,65.94,Pass
71.63,82.61,74.63,36.22,Fail
71.09,78.2,87.12,81.08,Pass
74.7,66.42,53.53,71.44,Pass
50.38,64.5,73.25,45.91,Pass
59.82,64.12,27.43,29.25,Fail
94.4,56.16,54.48,57.1,Pass
97.74,94.23,64.44,51.08,Pass
75.01,65.17,48.63,62.26,Pass
84.92,88.26,48.14,52.74,Fail
81.74,92.82,52.98,19.85,Fail
100.0,84.97,70.26,52.23,Pass
91.43,63.53,61.63,53.89,Pass
76.46,76.06,24.71,72.67,Fail
66.53,69.64,26.83,46.04,Fail
58.72,56.44,54.08,93.57,Pass
80.44,74.87,73.24,21.77,Fail
68.92,52.31,15.54,86.22,Pass
60.93,87.82,56.0,55.51,Pass
70.24,63.03,55.53,77.19,Pass
65.02,73.02,89.99,61.6,Pass
98.25,74.25,58.07,82.79,Pass
88.58,66.12,71.89,52.25,Pass
77.9,78.8,67.54,38.03,Pass
95.76,62.88,26.65,88.41,Pass
78.93,83.07,78.83,57.73,Pass
67.66,49.81,68.88,64.43,Fail
96.28,71.9,74.15,84.7,Pass
84.47,99.08,100.0,39.36,Pass
65.55,55.0,27.49,71.91,Fail
75.72,59.83,96.04,48.2,Pass
67.49,77.71,59.83,57.36,Pass
61.41,72.69,70.17,61.45,Pass
89.11,75.26,64.18,30.0,Fail
100.0,77.34,57.36,44.42,Pass
61.22,79.52,54.74,87.02,Pass
84.76,86.65,70.93,77.72,Pass
70.19,76.15,37.69,58.75,Fail
72.15,66.38,78.51,64.86,Pass
70.89,80.09,57.51,54.12,Pass
67.63,98.5,44.66,87.13,Pass
78.58,68.01,56.9,55.99,Fail
68.03,55.38,87.63,64.64,Pass
81.25,86.61,55.36,82.92,Pass
77.4,68.19,71.45,44.45,Pass
75.13,37.41,51.84,91.18,Pass
67.11,82.71,78.64,29.39,Pass
71.08,61.97,77.34,92.59,Pass
87.06,68.64,98.27,52.55,Pass
84.01,74.98,61.84,55.15,Fail
66.27,72.86,77.04,22.2,Fail
79.19,80.64,66.77,50.9,Pass
87.02,63.47,88.33,39.2,Pass
57.97,77.7,52.06,47.85,Fail
84.52,66.11,78.41,57.25,Pass
70.05,81.08,61.5,79.16,Pass
84.85,79.23,63.84,64.15,Pass
68.84,55.97,66.65,66.15,Pass
56.34,86.29,69.54,38.09,Fail
58.47,61.96,62.91,42.38,Fail
78.58,82.12,68.86,95.97,Pass
81.12,75.51,93.41,45.3,Pass
67.15,97.57,82.74,93.12,Pass
85.66,66.65,80.64,55.14,Pass
58.06,64.76,56.8,60.05,Fail
77.21,69.71,48.99,81.41,Pass
63.47,65.45,82.2,85.44,Pass
70.18,82.0,80.77,57.78,Pass
78.57,45.76,91.51,52.24,Pass
67.68,54.19,54.13,58.88,Fail
73.39,53.98,60.87,66.76,Pass
90.08,84.25,35.49,77.83,Pass
71.08,95.66,57.94,60.08,Pass
88.03,68.43,82.94,72.38,Pass
64.44,67.47,56.6,92.77,Pass
84.36,71.05,76.53,67.63,Pass
95.3,87.43,61.57,66.23,Pass
48.34,56.09,70.83,29.62,Fail
68.44,73.58,44.34,7.39,Fail
84.92,84.63,66.53,67.77,Pass
75.56,77.52,11.16,58.1,Fail
82.45,72.84,61.64,49.7,Fail
70.75,85.02,35.65,64.87,Pass
79.04,29.45,86.71,58.79,Pass
76.13,80.17,78.99,82.56,Pass
92.01,60.19,73.4,61.72,Pass
81.05,42.54,92.38,45.06,Pass
82.05,77.67,47.92,79.8,Pass
73.06,90.6,96.45,55.66,Pass
72.15,67.94,81.78,70.53,Pass
72.81,84.29,60.74,50.45,Fail
82.73,94.18,85.44,47.0,Pass
72.95,89.72,45.09,61.68,Pass
81.48,94.6,50.16,60.26,Pass
100.0,81.13,54.05,69.6,Pass
88.45,71.13,55.48,54.63,Pass
74.09,45.97,45.98,23.27,Fail
92.41,66.31,87.02,51.34,Pass
73.1,57.35,60.34,75.88,Pass
53.54,100.0,71.35,54.05,Pass
65.9,67.36,54.73,55.07,Fail
55.55,71.85,32.23,79.73,Fail
73.78,78.27,69.86,45.76,Pass
78.22,70.65,30.58,29.14,Fail
98.12,95.43,63.76,56.79,Pass
81.92,60.66,40.37,50.32,Fail
75.37,72.92,100.0,40.68,Pass
87.95,58.86,81.4,56.49,Pass
51.47,50.2,66.9,69.83,Pass
80.83,60.82,87.75,59.81,Pass
87.25,69.44,49.77,66.14,Fail
60.26,63.56,74.78,96.27,Pass
91.73,59.61,68.6,53.14,Pass
82.06,48.91,69.75,65.57,Pass
73.02,68.75,87.9,49.82,Pass
85.59,47.43,78.18,43.07,Fail
100.0,81.4,70.2,48.3,Pass
80.18,71.24,35.21,50.42,Pass
80.98,48.14,47.72,67.19,Pass
72.49,65.36,62.79,100.0,Pass
67.8,58.72,66.68,45.68,Fail
87.96,74.79,44.66,51.67,Fail
67.73,90.11,100.0,58.74,Pass
78.86,41.87,92.3,67.92,Pass
72.27,71.73,75.84,65.27,Pass
83.75,67.6,66.3,85.68,Pass
82.0,80.07,61.18,11.47,Fail
90.45,73.2,47.87,12.26,Fail
71.88,58.72,66.39,50.08,Pass
74.76,65.21,69.64,81.95,Pass
66.25,58.06,42.65,28.69,Fail
72.67,86.14,71.02,0.0,Fail
82.53,70.32,62.21,71.42,Pass
87.08,98.52,30.66,64.87,Pass
66.93,69.09,49.51,38.2,Fail
88.44,59.37,57.56,40.29,Pass
94.27,47.29,98.98,40.61,Pass
82.96,42.95,75.02,62.21,Pass
100.0,46.24,40.96,47.47,Fail
68.71,74.01,73.75,69.88,Pass
63.06,77.63,37.15,2.91,Fail
56.66,46.28,84.49,42.86,Fail
95.95,83.43,56.52,37.48,Pass
85.85,62.75,63.31,54.87,Pass
77.33,72.2,88.86,49.24,Pass
81.36,94.18,41.83,75.96,Pass
64.49,83.45,39.85,22.81,Fail
100.0,65.97,54.5,60.91,Pass
79.55,56.63,83.69,71.17,Pass
79.31,37.72,37.65,97.13,Pass
86.71,59.21,14.02,50.36,Fail
83.77,66.83,56.88,66.49,Pass
80.69,55.19,74.93,23.92,Fail
68.51,68.03,86.6,12.16,Fail
83.66,71.15,56.66,76.9,Pass
100.0,66.63,57.59,59.89,Pass
94.15,60.25,85.77,83.57,Pass
97.12,72.53,31.34,32.53,Fail
71.87,76.63,58.01,70.4,Pass
66.12,53.64,68.43,97.38,Pass
76.49,91.16,73.09,68.39,Pass
78.67,68.52,55.82,65.53,Pass
91.13,70.28,65.62,60.17,Pass
57.69,80.62,20.21,28.58,Fail
96.35,73.5,53.15,87.11,Pass
76.1,84.3,73.16,47.78,Pass
72.88,74.31,47.32,70.09,Pass
65.85,60.81,66.06,28.74,Fail
58.14,75.42,73.04,36.41,Fail
87.88,52.84,58.83,88.7,Pass
78.88,71.63,68.07,53.05,Pass
62.52,69.5,47.67,89.07,Pass
62.46,66.88,61.28,58.44,Pass
73.97,68.07,75.98,23.16,Fail
98.03,41.77,67.83,77.84,Pass
74.88,61.77,54.44,48.2,Fail
59.96,71.39,69.04,73.97,Pass
75.05,72.4,77.86,60.5,Pass
74.73,54.58,28.1,29.14,Fail
45.64,88.99,85.86,63.29,Pass
77.35,57.01,58.95,100.0,Pass
75.23,84.54,72.66,69.86,Pass
86.35,76.41,86.55,58.85,Pass
100.0,60.31,40.31,81.51,Pass
91.52,96.63,52.23,64.21,Pass
74.77,52.1,59.81,64.19,Pass
64.72,83.79,50.89,38.17,Fail
100.0,85.01,96.23,64.68,Pass
78.71,59.94,49.58,80.71,Pass
78.17,90.89,55.0,43.28,Fail
77.71,66.25,68.68,88.49,Pass
80.38,74.33,43.36,58.17,Fail
76.27,73.9,57.88,42.24,Fail
71.12,67.99,70.71,79.95,Pass
71.44,82.16,59.01,54.26,Pass
77.61,81.9,63.32,75.19,Pass
71.48,43.77,55.47,54.16,Fail
69.45,89.57,37.74,58.8,Fail
79.28,45.06,70.79,69.87,Pass
74.94,85.49,96.59,65.82,Pass
96.05,86.9,65.33,20.09,Pass
46.19,53.64,69.05,37.58,Fail
91.1,63.84,77.47,78.59,Pass
92.95,53.41,42.15,57.36,Pass
53.12,66.78,95.65,49.53,Pass
73.89,65.38,68.64,32.83,Fail
73.54,81.69,94.37,38.41,Pass
61.11,89.65,51.81,19.56,Fail
68.67,90.94,97.73,57.97,Pass
64.67,61.57,78.95,48.03,Pass
99.03,66.86,74.95,40.67,Pass
89.23,44.75,69.21,58.64,Pass
93.26,57.91,60.53,67.28,Pass
86.66,84.47,86.61,100.0,Pass
64.45,94.23,67.53,29.76,Pass
71.71,51.48,29.59,83.19,Pass
83.87,61.11,44.89,79.46,Pass
63.33,69.6,61.65,44.42,Fail
86.56,74.2,70.58,64.06,Pass
75.12,57.86,63.98,50.85,Pass
73.5,76.36,86.94,63.71,Pass
86.53,62.89,29.88,90.18,Pass
83.33,69.78,67.58,72.11,Pass
73.67,78.19,32.28,70.17,Pass
91.91,70.1,78.67,51.39,Pass
65.03,63.45,63.3,30.32,Fail
85.39,68.36,72.55,55.83,Pass
85.12,68.67,49.45,84.13,Pass
74.29,64.45,88.03,29.46,Fail
81.91,66.12,83.75,38.9,Pass
